GEO_ID	HC01_VC03	HC01_VC03	TotalPop_1015	StDevPop_1015
1400000US42007602701	1801	1896	0.052748473	0.221346101
1400000US42007602702	3618	3573	-0.012437811	-0.190398676
1400000US42007602800	2704	2589	-0.042529586	-0.380471347
1400000US42007602900	3115	2689	-0.136757624	-0.975656412
1400000US42007603000	3113	3039	-0.023771282	-0.261985781
1400000US42007603202	7185	7096	-0.012386917	-0.190077209
1400000US42007603300	4033	3814	-0.054302008	-0.454831062
1400000US42007603400	1768	1892	0.070135747	0.331171644
1400000US42007603500	1558	1621	0.040436457	0.14357808
1400000US42007603600	2130	2198	0.031924883	0.089815293
1400000US42007603700	4155	4075	-0.019253911	-0.233452113
1400000US42007603801	3021	2891	-0.043032109	-0.383645498
1400000US42007603802	2727	3042	0.115511551	0.617784861
1400000US42007603803	3256	3256	0	-0.11183608
1400000US42007603900	3214	3154	-0.018668326	-0.229753305
1400000US42007604000	2542	2642	0.039339103	0.136646718
1400000US42007604100	2929	2779	-0.051212018	-0.435313344
1400000US42007604200	1655	1510	-0.087613293	-0.66523955
1400000US42007604500	2469	2342	-0.051437829	-0.436739666
1400000US42007604600	2961	3104	0.048294495	0.193212849
1400000US42007604700	1449	1506	0.039337474	0.136636429
1400000US42007604800	4559	4262	-0.065145865	-0.523325555
1400000US42007604901	3673	4227	0.150830384	0.840873891
1400000US42007604902	4816	4524	-0.060631229	-0.49480916
1400000US42007605001	2550	2555	0.001960784	-0.099450918
1400000US42007605002	3807	3760	-0.012345679	-0.189816731
1400000US42007605100	4951	4849	-0.020601899	-0.241966586
1400000US42007605200	2549	2639	0.035307964	0.111184299
1400000US42007605300	3149	3166	0.005398539	-0.07773657
1400000US42007605400	3796	3460	-0.088514226	-0.670930229
