GEO_ID	CLINTON	TRUMP	OTHERS_USP	MCGINTY	TOOMEY	OTHERS_USS	DEM_USC	REP_USC	OTHERS_USC
1400000US42101006600	1408.024	54.685	14.258	1328.242	57.005	10.409	1311.026	63.006	0
1400000US42101006700	1707.628	81.367	11.859	1631.903	89.411	9.84	1614.881	80.764	0
1400000US42077006701	665.701	794.72	63.508	670.756	744.673	93.089	586.979	818.953	75.409
1400000US42077006702	918.055	1097.729	82.849	919.426	1047.682	113.351	785.915	1171.696	93.829
1400000US42077006703	1640.354	2102.009	122.341	1493.67	2276.009	114.262	1166.936	2536.743	111.42
1400000US42077006800	1227	647	110	1161	679	133	1084	792	89
1400000US42101006900	1072.959	14.061	9.155	1031.846	16.889	6.361	1023.136	18.129	0
1400000US42077006902	491.27	622.161	65.282	473.832	649.635	65.252	373.337	738.932	62.336
1400000US42077006903	462.736	626.835	47.293	416.174	661.902	57.907	359.798	697.679	53.556
1400000US42077006905	481.551	629.923	57.723	425.104	690.855	49.258	335.242	769.122	51.082
1400000US42077006906	941.017	1252.597	104.734	838.446	1348.122	106.913	692.703	1461.869	104.302
1400000US42077007000	764	1366	93	723	1408	89	755	1326	99
1400000US42101007000	1965.057	24.933	18.495	1900.998	29.495	15.765	1904.426	29.735	0
1400000US42101007101	1535.988	53.078	17.413	1494.402	55.502	9.391	1496.417	57.539	0
1400000US42101007102	2501.685	38.113	15.155	2455.078	48.531	6.429	2443.888	44.619	0
1400000US42101007200	1983.557	25.217	25.939	1917.217	33.329	12.585	1928.814	22.596	0
